Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Species,outlier
1996.0,0.0,usa,florida,swimming,1.0,14.0,4 or 5 lacerations on left ankle,0.0,unknown,1
1996.0,0.0,usa,north carolina,surfing,1.0,24.0,survived,0.0,tiger shark,1
1995.0,0.0,usa,florida,scuba diving,1.0,25.0,"presumed fatal, body not recovered",1.0,3 m to 3.7 m [10' to 12'] bull shark,1
1995.0,0.0,usa,north carolina,diving,0.0,24.0,no injury,0.0,two 1.2 m to 1.5 m [4' to 5'] sharks,1
1995.0,0.0,usa,florida,body boarding,1.0,47.0,foot bitten,0.0,unknown,1
1994.0,0.0,usa,florida,wading,1.0,26.0,gash on ankle,0.0,unknown,1
1994.0,0.0,usa,california,removing shark from tank in nightclub,1.0,33.0,arm lacerated by captive shark provoked incident,0.0,"lemon shark, 4'",1
1994.0,0.0,brazil,pernambuco,surfing,1.0,25.0,leg bitten,0.0,2 m shark,1
1993.0,0.0,usa,hawaii,paddling on surfboard,1.0,35.0,lower legs lacerated,0.0,"tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",1
1992.0,0.0,japan,ehime prefecture,unknown,1.0,24.0,survived,0.0,unknown,1
1991.0,0.0,usa,florida,fishing,1.0,24.0,laceration to right forearm provoked incident,0.0,"lemon shark, 30-lb",1
1989.0,0.0,south africa,western cape province,free diving,1.0,29.0,chest lacerated,0.0,"white shark, identified by tooth pattern",1
1969.0,1.0,bermuda,unknown,scuba diving,1.0,35.0,fatal,0.0,shark involvement suspected but not confirmed,1
1988.0,0.0,usa,florida,standing,0.0,30.0,foot bitten,0.0,unknown,1
1987.0,0.0,usa,hawaii,swimming from shore to anchored sailboat,1.0,24.0,"presumed fatal disappeared, his shark-bitten swim trunks were found on the seafloor",1.0,unknown,1
1986.0,0.0,usa,florida,surfing,0.0,24.0,survived,0.0,unknown,1
1986.0,0.0,south africa,eastern cape province,surfing,1.0,23.0,"no injury, board struck by shark",0.0,2 m [6.75'] shark,1
1985.0,0.0,usa,florida,surfing,1.0,25.0,hand bitten,0.0,unknown,1
1984.0,0.0,usa,hawaii,towing her sister on plastic ski board,0.0,13.0,foot bitten,0.0,1.2 m to 1.5 m [4' to 5'] hammerhead shark,1
1983.0,1.0,philippines,central philippines,ferry boat sank,1.0,24.0,left foot nipped,0.0,.5 m shark,1
1982.0,1.0,usa,carolina coast,yacht trashman capsized in storm,0.0,24.0,fatal,0.0,unknown,1
1982.0,0.0,usa,florida,surfing,1.0,18.0,lacerations to left hand and forearm,0.0,4' to 5' shark,1
1981.0,0.0,usa,florida,surfing,1.0,17.0,puncture wounds to left foot,0.0,unknown,1
1981.0,0.0,south korea,chungnam,shell diving,0.0,27.0,fatal,1.0,6 m  white shark,1
1980.0,0.0,usa,delaware,standing,0.0,22.0,"no injury, shark bit her bathing suit",0.0,4' to 8' shark,1
1977.0,1.0,south africa,western cape province,fishing for yellowtail,1.0,24.0,lombard's thigh was lacerated by shark that leapt into boat,0.0,"mako shark, 2.3 m, 150-kg",1
1977.0,1.0,australia,queensland,unknown,1.0,24.0,"missing, believed taken by a shark",0.0,unknown,1
1976.0,1.0,australia,queensland,unknown,0.0,24.0,"missing, believed taken by a shark, but not confirmed",0.0,shark involvement prior to death was not confirmed,1
1976.0,0.0,usa,california,surfing,1.0,25.0,leg bitten,0.0,"white shark, 3 m to 4 m [10' to 13']",1
1976.0,1.0,south africa,western cape province,unknown,0.0,24.0,shark breached hull of boat,0.0,white shark named “spotty”,1
1976.0,0.0,south africa,western cape province,shark fishing,0.0,24.0,"no injury to occupants, after shark was harpooned & shot, it holed the boat provoked incident",0.0,4 m [13'] shark,1
1975.0,0.0,usa,florida,free diving,1.0,24.0,forearms lacerated,0.0,unknown,1
1975.0,0.0,usa,florida,surfing,1.0,17.0,right foot bitten,0.0,unknown,1
1972.0,0.0,new zealand,north island,swimming,1.0,17.0,"no injury, leg of jeans torn off",0.0,unknown,1
1971.0,0.0,new zealand,south island,surfing,1.0,16.0,lacerations to left leg,0.0,"white shark, 4.6 m [15']",1
1970.0,0.0,sri lanka,western province,spearfishing / freediving,1.0,24.0,swim fins badly torn by the shark's teeth,0.0,unknown,1
1968.0,0.0,usa,florida,unknown,1.0,10.0,"buttock, both legs & arm bitten",0.0,2.7 m [9'] silky shark,1
1967.0,0.0,usa,unknown,unknown,1.0,24.0,"head, shoulder, arm lacerated. recorded as provoked incident",0.0,unknown,1
1966.0,0.0,bahamas,bimini islands,snorkeling,0.0,18.0,"survived, no details",0.0,unknown,1
1966.0,1.0,usa,delaware,spearfishing on scuba,1.0,26.0,"no attack, no injury, shark took speared fish & approached diver closely",0.0,invalid,1
1965.0,1.0,usa,florida,wading,1.0,6.0,parallel lacerations on right calf. thought to be a barracuda bite,0.0,questionable incident,-1
1964.0,0.0,australia,western australia,"surfing, but swimming to his board",1.0,19.0,abrasions & 11 teethmarks on right lower leg,0.0,"grey nurse shark, 1.8 m [6']",1
1963.0,0.0,south africa,kwazulu-natal,splashing in surf,1.0,15.0,"fatal, arm severed, leg bitten",1.0,300- to 400-lb zambesi shark,1
1963.0,0.0,mauritius,rodrigues,unknown,1.0,24.0,laceration to right forearm,0.0,unknown,1
1962.0,0.0,italy,tyrrhenian sea,spearfishing with scuba gear,1.0,28.0,"fatal, multiple injuries to both legs",1.0,white shark,1
1962.0,0.0,papua new guinea,madang,swimming,1.0,10.0,"fatal, calf bitten, other leg severed below knee",1.0,possibly a bronze whaler shark,1
1961.0,0.0,mid atlantic ocean,165  miles from bermuda,"survived us naval aircraft crash, climbing onboard rescue vessel when he fell back into sea",1.0,22.0,lacerations to right shoulder blade  & back,0.0,"oceanic whitetip shar,; identified by dr. w.c. schoeder on photograph & dr. l.p. l. schultz on sketch by observer",1
1961.0,0.0,usa,florida,standing,1.0,25.0,lacerations to left leg,0.0,unknown,1
1961.0,0.0,south africa,kwazulu-natal,fishing,1.0,44.0,landed shark in boat bit his left leg  provoked incident,0.0,"zambesi shark, 4'9",1
1961.0,1.0,australia,new south wales,fishing for mackerel,0.0,24.0,"no injury to occupant, shark took hooked fish then bit stern of boat",0.0,unknown,1
1960.0,0.0,south africa,kwazulu-natal,swimming,1.0,25.0,"fatal, legs severed",1.0,"white shark, 3 m [10'], tooth fragment from wounds identified as that of a white shark",1
1960.0,0.0,australia,queensland,swimming,1.0,41.0,right shoulder lacerated,0.0,3' shark,1
1959.0,1.0,maldive islands,400 miles southeast of sri lanka,17 maldivians adrift in open boat for 31 days,0.0,3.0,fatal,1.0,unknown,-1
1959.0,1.0,usa,california,wading,1.0,24.0,"no injury, no attack, the 10' shark merely circled him.",0.0,invalid,1
1958.0,0.0,australia,queensland,swimming,1.0,21.0,fatal,1.0,12' shark,1
1958.0,0.0,samoa,south pacific ocean,placed hand in disemboweled shark’s jaws,0.0,24.0,hand lacerated provoked incident,0.0,unknown,1
1957.0,0.0,solomon islands,bougainville (north solomons),diving from canoe,1.0,15.0,leg severed,0.0,unknown,1
1957.0,0.0,usa,florida,bathing,0.0,24.0,injured by shark,0.0,1.5 m [5'] shark,1
1956.0,0.0,papua new guinea,central province,"spearfishing, holding 5' speared fish",1.0,24.0,"left forearm & hand bitten, surgically amputated",0.0,3.7 m [12'] shark,1
1956.0,0.0,australia,torres strait,diving,0.0,24.0,badly bitten by shark,0.0,unknown,1
1956.0,0.0,australia,queensland,diving into water,1.0,15.0,"fatal, large amount of tissue removed from leg, artery severed",1.0,1.8 m [6'] shark,1
1955.0,1.0,usa,florida,fishing for pompano,0.0,24.0,"no injury to occupants, shark released from net holed boat",0.0,unknown,1
1955.0,0.0,usa,california,spearfishing,1.0,19.0,"swimfin & 2 wool socks removed by shark, suit torn",0.0,"white shark, 5 m to 6 m [16.5' to 20]",1
1954.0,0.0,usa,california,swimming,1.0,35.0,minor bruises & abrasions on leg,0.0,1.5 m [5'] shark,1
1954.0,0.0,hong kong,unknown,swimming,1.0,20.0,"fatal, leg severely bitten",1.0,unknown,1
1954.0,0.0,usa,florida,unknown,0.0,24.0,small wound on upper thigh,0.0,"nurse shark, 2.5'",1
1954.0,1.0,croatia,unknown,unknown,1.0,24.0,human remains found in shark,0.0,shark involvement prior to death was not confirmed,1
1954.0,0.0,martinique,unknown,unknown,1.0,24.0,"chest bruised, after shark clamped its jaws on his chest",0.0,"nurse shark, 1.8 m [6']",1
1950.0,0.0,australia,western australia,spearfishing,1.0,24.0,minor injury to leg,0.0,small carpet shark,1
1950.0,0.0,singapore,singapore harbor,diving for coins,1.0,24.0,fatal,1.0,unknown,1
1948.0,0.0,bahamas,bimini islands,spearing a shark,1.0,41.0,shark that he speared bit his calf     provoked incident,0.0,"lemon shark, 4'",1
1947.0,0.0,bahamas,new providence island,attempting to ride a shark,1.0,24.0,arm bitten provoked incident,0.0,5' shark,1
1946.0,0.0,tanzania,dar-es-salaam,swimming,1.0,24.0,leg bitten,0.0,unknown,1
1945.0,0.0,iran,shatt-al-arab river,swimming,1.0,13.0,"right forearm injured, mid-humeral amputation",0.0,unknown,1
1942.0,1.0,southwest pacific ocean,unknown,adrift on life raft,1.0,24.0,"fatal, 2 of the 9 airmen killed by sharks",1.0,tiger shark & others,1
1942.0,1.0,atlantic ocean,unknown,the ss potlach was torpedoed & sunk by the u-153 on 27-jun-1942.,1.0,32.0,fatal arm bitten,1.0,unknown,1
1942.0,0.0,unknown,300 miles east of st. thomas (virgin islands),on life raft tethered to lifeboat. a seaman put hand over side to rinse a cup,1.0,24.0,forearm lacerated,0.0,unknown,1
1941.0,1.0,south atlantic ocean,"north of pernambuco, brazil",british cruiser dunedin torpedoed & sunk by the u-124,0.0,24.0,"418 perished, only 67 survived, some of the men were taken by sharks",1.0,unknown,1
1941.0,0.0,usa,new york,fishing,0.0,24.0,laceration to left forearm from hooked shark provoked incident,0.0,unknown,1
1940.0,0.0,south africa,kwazulu-natal,swimming,1.0,17.0,"fatal, multiple injuries to legs & buttocks",1.0,unknown,1
1939.0,1.0,bahamas,andros islands,fishing,0.0,24.0,"no injury to occupant, shark rammed bow of boat",0.0,tiger shark,1
1937.0,0.0,australia,new south wales,swimming ashore after launch capsized,1.0,24.0,foot bitten,0.0,unknown,1
1936.0,0.0,canada,newfoundland,fishing for cod,0.0,24.0,"no injury to occupants, hooked shark leapt onboard boat provoked incident",0.0,"shovelnose shark, 6 m [20']",1
1936.0,0.0,usa,florida,swimming,1.0,24.0,fatal,1.0,unknown,1
1935.0,0.0,panama,unknown,"fishing with dynamite, afterwards in water retrieving catch",1.0,14.0,"fatal, leg severed",1.0,unknown,1
1934.0,0.0,bermuda,hamilton,fishing,1.0,24.0,arm bitten by hooked shark provoked incident,0.0,unknown,1
1934.0,0.0,australia,queensland,body surfing,1.0,34.0,leg lacerated & punctured,0.0,unknown,1
1932.0,0.0,south africa,eastern cape province,collecting fish by lamplight in gully,1.0,23.0,"right shin, calf and sole of foot lacerated",0.0,"raggedtooth shark, 1.2 m to 1.5 m [4' to 5']",1
1931.0,1.0,usa,hawaii,unknown,1.0,24.0,"mysteriously disappeared his body was found in an 18', 750-lb shark caught at barber's point on 01-sep-1931",0.0,shark involvement prior to death unconfirmed,1
1931.0,0.0,usa,florida,crabbing,1.0,24.0,lacerations to fingers,0.0,6' shark,1
1929.0,1.0,turkey,unknown,fishing boat,1.0,24.0,fatal,1.0,unknown,1
1927.0,1.0,philippines,luzon island,sea disaster,0.0,24.0,"55  perished, some were  taken by sharks",1.0,unknown,1
1927.0,0.0,australia,queensland,pearl diving,1.0,24.0,leg injured,0.0,unknown,1
1926.0,0.0,papua new guinea,central province,jumped into the water,1.0,24.0,"fatal, abdomen bitten",1.0,unknown,1
1925.0,0.0,usa,puerto rico,unknown,0.0,24.0,laceration across abdomen,0.0,unknown,1
1917.0,0.0,kuwait,unknown,diving for pearls,1.0,24.0,torso bitten,0.0,unknown,1
1916.0,0.0,usa,north carolina,fishing,1.0,24.0,arm severely lacerated,0.0,unknown,1
1916.0,1.0,bahamas,unknown,s.s. ramos foundered in a hurricane. captain & 14 crew in water-logged lifeboats.,1.0,24.0,fatal.  when the survivors were rescued next day they were clubbing sharks with oars. sharks were so thick that it was difficult to row,1.0,unknown,1
1916.0,0.0,usa,new jersey,swimming,1.0,24.0,fatal,1.0,thought to involve a 2.6 m [8.5'] white shark,1
1913.0,0.0,usa,florida,fishing for mackerel,0.0,24.0,no injury to occupants but hull splintered by harpooned shark provoked incident,0.0,13' shark,1
1913.0,0.0,usa,florida,unknown,1.0,24.0,major injuries but survived,0.0,said to involve a 2.4 m [8'] hammerhead shark,1
1913.0,0.0,reunion,5aint-denis,swimming,1.0,24.0,fatal,1.0,unknown,1
1912.0,0.0,new caledonia,south province,swimming,1.0,24.0,left shoulder & both legs bitten,0.0,unknown,1
1910.0,1.0,usa,hawaii,"hard hat diving, laying some charge of powder",1.0,24.0,no injury,0.0,invalid,1
1910.0,0.0,australia,western australia,surf bathing,1.0,24.0,"shoulder, back & leg bitten",0.0,5.5' to 6' shark,1
1910.0,1.0,usa,hawaii,"fishing, thrown into water by heavy sea, clinging to rocks at the water line",1.0,24.0,"body bitten by shark/s, but death may have been due to drowning",0.0,shark involvement prior to death unconfirmed,1
1910.0,0.0,philippines,luzon island,swimming,1.0,24.0,"calf removed, not known if he survived",0.0,6 m [20'] shark,1
1907.0,0.0,usa,new jersey,wading,1.0,24.0,abrasion to chest,0.0,unknown,1
1907.0,1.0,australia,queensland,.,1.0,24.0,"disappeared, but shark involvement unconfirmed",0.0,questionable,1
1905.0,1.0,australia,western australia,bathing,1.0,24.0,bad wound in the leg - 7-ft shark caught in the bath same day,0.0,shark involvement not confirmed,1
1905.0,1.0,usa,north carolina,harpooning turtles,0.0,24.0,"no injury, shark bumped skiff",0.0,20' shark,1
1904.0,0.0,new zealand,north island,swimming,1.0,30.0,fatal,1.0,unknown,1
1903.0,0.0,australia,new south wales,suicide,1.0,24.0,jumped off cliff,1.0,unknown,1
1903.0,0.0,australia,new south wales,unknown,1.0,24.0,fatal,1.0,bull shark,1
1902.0,0.0,italy,liguria,fishing,1.0,24.0,face & arms injured by hooked shark provoked incident,0.0,unknown,1
1901.0,0.0,australia,queensland,bathing,1.0,10.0,lacerations to torso & thigh,0.0,unknown,-1
1900.0,0.0,croatia,primorje-gorski kotar county,swimming,1.0,24.0,fatal,1.0,unknown,1
1899.0,0.0,australia,queensland,fell into the water,1.0,24.0,bite to lower leg,0.0,unknown,1
1898.0,0.0,usa,south carolina,fishing (seining),1.0,15.0,lacerations to left hand,0.0,white shark,-1
1896.0,0.0,usa,florida,swimming ashore from a filibuster,1.0,24.0,fatal,1.0,unknown,1
1895.0,0.0,yemen,aden,diving for coins,1.0,24.0,fatal,1.0,unknown,1
1893.0,0.0,cuba,havana province,his balloon crashed in the harbor,1.0,24.0,fatal,1.0,unknown,1
1893.0,0.0,new zealand,south island?,bathing,1.0,24.0,fatal,1.0,unknown,1
1892.0,0.0,pacific ocean,unknown,a canoe was pursuing a schooner that had forcibily abducted 5 young girls,1.0,24.0,6 or 8 of the would-be rescuers were shot & the rest were killed by sharks,1.0,unknown,1
1888.0,0.0,south africa,eastern cape province,crossing the river mouth,1.0,24.0,fatal,1.0,unknown,1
1887.0,0.0,australia,new south wales,unknown,1.0,24.0,fatal,1.0,12' to 14' shark,1
1886.0,1.0,new zealand,south island,sea disaster : wreck of the taiaroa,1.0,24.0,probable drowning & scavenging,0.0,shark involvement prior to death unconfirmed,1
1883.0,0.0,usa,texas,knocked overboard,1.0,24.0,fatal,1.0,unknown,1
1882.0,0.0,new zealand,north island,bathing,1.0,24.0,sole of foot bitten,0.0,unknown,1
1880.0,1.0,syria,unknown,diving for sponges,1.0,24.0,fatal,0.0,shark involvement prior to death unconfirmed,1
1878.0,0.0,australia,new south wales,bathing,1.0,24.0,laceration to leg,0.0,a small shark,1
1878.0,0.0,unknown,unknown,jumped overboard after murdering 2 shipmates,1.0,24.0,fatal,1.0,unknown,1
1878.0,1.0,south africa,western cape province,wreck of the union steamship company 982-ton iron steamer kafir,1.0,24.0,"fatal, shark removed large part of his hip",1.0,unknown,1
1876.0,0.0,australia,victoria,bathing,1.0,24.0,"fatal, rescued by man on horseback, but died on the beach",1.0,unknown,1
1876.0,0.0,australia,western australia,pearl diving,1.0,24.0,severely bitten but survived,0.0,unknown,1
1874.0,0.0,unknown,unknown,salvaging a shipwreck,1.0,24.0,heel bitten,0.0,unknown,1
1874.0,1.0,canada,newfoundland,fishing,1.0,24.0,shark bit & tipped the dory,0.0,white shark,1
1870.0,0.0,india,"22ºn, 88ºe",bathing,1.0,39.0,4 irregular lacerated wounds on right arm,0.0,unknown,-1
1865.0,0.0,usa,new york,swimming alongside the schooner catherine wilcox,1.0,17.0,multiple lacerations,0.0,unknown,-1
1856.0,0.0,unknown,unknown,swimming,1.0,22.0,fatal,1.0,unknown,-1
1856.0,0.0,england,isle of wight,swimming,1.0,24.0,survived,1.0,unknown,-1
1852.0,0.0,south africa,kwazulu-natal,swimming from capsized boat,1.0,24.0,fatal,1.0,unknown,-1
1849.0,0.0,usa,florida,bathing,0.0,24.0,fatal,1.0,unknown,-1
1846.0,1.0,mexico,veracruz,wreck of the uss somers,1.0,24.0,"fatal, some were taken by sharks",1.0,unknown,-1
1839.0,0.0,fiji,viti levu island,unknown,1.0,29.0,survived,0.0,unknown,-1
1830.0,0.0,usa,massachusetts,"fishing from dory, shark upset boat & he fell into the water",1.0,52.0,fatal,1.0,unknown,-1
2023.0,0.0,bahamas,freeport,scuba diving,0.0,73.0,calf severely bitten,0.0,caribbean rreef shark,1
2023.0,0.0,australia,western australia,snorkeling,1.0,11.0,cuts to leg,0.0,unknown,1
2023.0,0.0,usa,florida,spearfishing,1.0,24.0,minor injury to lower right leg,0.0,"bull shark, 6'",1
2023.0,0.0,usa,hawaii,swimming,1.0,60.0,left hand and  left leg.,0.0,unknown,1
