Year,Type,Country,Area,Activity,Age,Injury,Fatal (Y/N),Time,outlier
2010.0,0.0,USA,Palmyra Atoll,Snorkeling,33.0,Head bitten by netted shark PROVOKED INCIDENT,0.0,13.0,1
2010.0,0.0,USA,Florida,Surfing,24.0,Left thigh bitten,0.0,9.0,1
2010.0,0.0,USA,Texas,Surfing,20.0,Lacerations to right foot,0.0,14.0,1
2010.0,0.0,FIJI,Off Vanua Levu,Scuba diving,19.0,FATAL,1.0,9.0,1
2010.0,1.0,GUAM,Merizo,Spearfishing (free diving),31.0,Shark bites were post-mortem,0.0,11.0,1
2009.0,0.0,PANAMA,Bocas,Wading,10.0,Arm & torso bitten,0.0,18.0,1
2009.0,0.0,VIETNAM,Binh Dinh Province,Swimming,57.0,Severe bite to right leg,0.0,14.0,1
2009.0,0.0,USA,Florida,Swimming,43.0,Thigh injured by hooked shark PROVOKED INCIDENT,0.0,14.0,1
2008.0,0.0,ECUADOR,Galapagos Islands,,24.0,Leg bitten,0.0,14.0,1
2008.0,0.0,NEW CALEDONIA,North Province,Fishing,40.0,Lower legs bitten,0.0,14.0,1
2008.0,0.0,USA,Florida,Wading,6.0,2 inch laceration to left lower calf.,0.0,14.0,1
2008.0,0.0,USA,Florida,Surfing,24.0,Calf bitten,0.0,10.0,1
2008.0,0.0,USA,Florida,Fishing for snapper,24.0,Minor injury to hand by hooked shark   PROVOKED INCIDENT,0.0,14.0,1
2008.0,0.0,MEXICO,Baja California,Surfing,26.0,Leg bitten,0.0,14.0,1
2007.0,0.0,USA,Florida,Surfing,18.0,Right foot bitten,0.0,16.0,1
2007.0,0.0,USA,Hawaii,Surfing,24.0,"No injury, board damaged",0.0,7.0,1
2007.0,0.0,AUSTRALIA,New South Wales,Boogie Boarding,26.0,Lacerations to  lower left leg & ankle,0.0,8.0,1
2007.0,0.0,SOUTH AFRICA,Eastern Cape Province,Swimming / Body Surfing,24.0,"Presumed FATAL, body not recovered",1.0,15.0,1
2007.0,1.0,USA,New York,Surfing,54.0,No injury,0.0,14.0,1
2006.0,0.0,SOUTH AFRICA,Eastern Cape Province,Canoeing,24.0,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,0.0,15.0,1
2006.0,0.0,USA,Florida,Surfing,54.0,Feet bitten,0.0,14.0,1
2006.0,0.0,SOUTH AFRICA,Eastern Cape Province,Spearfishing,34.0,Right arm  bitten,0.0,14.0,1
2005.0,0.0,AUSTRALIA,Queensland,Spearfishing,44.0,Right forearm & elbow bitten,0.0,11.0,1
2005.0,0.0,VANUATU,Malampa Province,Swimming,7.0,FATAL,1.0,15.0,1
2005.0,1.0,USA,Hawaii,Kayaking,24.0,"No injury, shark bit kayak",0.0,11.0,1
2005.0,0.0,NEW ZEALAND,North Island,Fishing,24.0,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",0.0,14.0,1
2004.0,0.0,USA,Florida,Surfing,20.0,Right foot bitten,0.0,13.0,1
2004.0,1.0,USA,Hawaii,Surfing,22.0,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement",0.0,14.0,1
2004.0,0.0,AUSTRALIA,New South Wales,Swimming,24.0,Three toes lacerated,0.0,14.0,1
2003.0,0.0,USA,Florida,Surfing,18.0,Left ankle bitten or right foot,0.0,14.0,1
2003.0,0.0,AUSTRALIA,South Australia,Wading,37.0,Ankle lacerated,0.0,14.0,1
2002.0,0.0,USA,North Carolina,Standing,14.0,Leg lacerated,0.0,11.0,1
2002.0,0.0,USA,Florida,Playing in the surf with his 2 dogs,35.0,"2-inch wound on dorsum of right foot, 1-inch wound on sole",0.0,6.0,-1
2001.0,0.0,MEXICO,Guerrero,Body surfing,26.0,Hand injured,0.0,9.0,1
2001.0,0.0,BAHAMAS,Grand Bahama Island,Spearfishing,43.0,Calf bitten,0.0,16.0,1
2000.0,1.0,NEW ZEALAND,North Island,Fishing,24.0,"No injury, shark bit the dinghy",0.0,14.0,1
1999.0,0.0,NEW ZEALAND,South Island,Surfing,15.0,Six puncture wounds on  leg,0.0,14.0,1
1999.0,0.0,USA,Hawaii,Swimming,51.0,"Buttock bitten, hands lacerated",0.0,17.0,1
1999.0,0.0,USA,South Carolina,,24.0,Five cuts on his heel,0.0,14.0,1
1998.0,0.0,USA,Virginia,Spearfishing,24.0,Lacerations to left hand,0.0,14.0,1
1998.0,0.0,SOUTH AFRICA,Western Cape Province,Body boarding,22.0,"Lower legs bitten, foot severed",0.0,14.0,1
1997.0,1.0,MEXICO,Quintana Roo,SCUBA diving,28.0,FATAL,0.0,14.0,1
1997.0,0.0,USA,South Carolina,Standing,50.0,Left calf bitten,0.0,22.0,1
1996.0,0.0,USA,California,Surfing,45.0,Single laceration on ankle & board bitten,0.0,8.0,1
1996.0,0.0,USA,Florida,Swimming,14.0,4 or 5 lacerations on left ankle,0.0,13.0,1
1996.0,0.0,USA,North Carolina,Surfing,24.0,Survived,0.0,14.0,1
1995.0,0.0,USA,Florida,Scuba diving,25.0,"Presumed FATAL, body not recovered",1.0,14.0,1
1995.0,0.0,USA,North Carolina,Diving,24.0,No injury,0.0,14.0,1
1995.0,0.0,USA,Florida,Body boarding,47.0,Foot bitten,0.0,14.0,1
1994.0,0.0,USA,Florida,Wading,26.0,Gash on ankle,0.0,15.0,1
1994.0,0.0,USA,California,Removing shark from tank in nightclub,33.0,Arm lacerated by captive shark PROVOKED INCIDENT,0.0,14.0,1
1994.0,0.0,BRAZIL,Pernambuco,Surfing,25.0,Leg bitten,0.0,14.0,1
1993.0,0.0,USA,Hawaii,Paddling on surfboard,35.0,Lower legs lacerated,0.0,15.0,1
1992.0,0.0,JAPAN,Ehime Prefecture,,24.0,Survived,0.0,14.0,1
1991.0,0.0,USA,Florida,Fishing,24.0,Laceration to right forearm PROVOKED INCIDENT,0.0,14.0,1
1989.0,0.0,SOUTH AFRICA,Western Cape Province,Free diving,29.0,Chest lacerated,0.0,14.0,1
1969.0,1.0,BERMUDA,,Scuba diving,35.0,FATAL,0.0,14.0,1
1988.0,0.0,USA,Florida,Standing,30.0,Foot bitten,0.0,14.0,1
1987.0,0.0,USA,Hawaii,Swimming from shore to anchored sailboat,24.0,"Presumed FATAL Disappeared, his shark-bitten swim trunks were found on the seafloor",1.0,14.0,1
1986.0,0.0,USA,Florida,Surfing,24.0,Survived,0.0,14.0,1
1986.0,0.0,SOUTH AFRICA,Eastern Cape Province,Surfing,23.0,"No injury, board struck by shark",0.0,14.0,1
1985.0,0.0,USA,Florida,Surfing,25.0,Hand bitten,0.0,14.0,1
1984.0,0.0,USA,Hawaii,Towing her sister on plastic ski board,13.0,Foot bitten,0.0,17.0,1
1983.0,1.0,PHILIPPINES,Central Philippines,Ferry boat sank,24.0,Left foot nipped,0.0,14.0,1
1982.0,1.0,USA,Carolina coast,Yacht Trashman capsized in storm,24.0,FATAL,0.0,14.0,1
1982.0,0.0,USA,Florida,Surfing,18.0,Lacerations to left hand and forearm,0.0,14.0,1
1981.0,0.0,USA,Florida,Surfing,17.0,Puncture wounds to left foot,0.0,14.0,1
1981.0,0.0,SOUTH KOREA,Chungnam,Shell diving,27.0,FATAL,1.0,12.0,1
1980.0,0.0,USA,Delaware,Standing,22.0,"No injury, shark bit her bathing suit",0.0,15.0,1
1977.0,1.0,SOUTH AFRICA,Western Cape Province,Fishing for yellowtail,24.0,Lombard's thigh was lacerated by shark that leapt into boat,0.0,14.0,1
1977.0,1.0,AUSTRALIA,Queensland,,24.0,"Missing, believed taken by a shark",0.0,14.0,1
1976.0,1.0,AUSTRALIA,Queensland,,24.0,"Missing, believed taken by a shark, but not confirmed",0.0,14.0,1
1976.0,0.0,USA,California,Surfing,25.0,Leg bitten,0.0,14.0,1
1976.0,1.0,SOUTH AFRICA,Western Cape Province,,24.0,Shark breached hull of boat,0.0,14.0,1
1976.0,0.0,SOUTH AFRICA,Western Cape Province,Shark fishing,24.0,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",0.0,14.0,1
1975.0,0.0,USA,Florida,Free diving,24.0,Forearms lacerated,0.0,14.0,1
1975.0,0.0,USA,Florida,Surfing,17.0,Right foot bitten,0.0,10.0,1
1972.0,0.0,NEW ZEALAND,North Island,Swimming,17.0,"No injury, leg of jeans torn off",0.0,14.0,1
1971.0,0.0,NEW ZEALAND,South Island,Surfing,16.0,Lacerations to left leg,0.0,10.0,1
1970.0,0.0,SRI LANKA,Western Province,Spearfishing / freediving,24.0,Swim fins badly torn by the shark's teeth,0.0,14.0,1
1968.0,0.0,USA,Florida,,10.0,"Buttock, both legs & arm bitten",0.0,12.0,1
1967.0,0.0,USA,,,24.0,"Head, shoulder, arm lacerated. Recorded as PROVOKED INCIDENT",0.0,14.0,1
1966.0,0.0,BAHAMAS,Bimini Islands,Snorkeling,18.0,"Survived, no details",0.0,17.0,1
1966.0,1.0,USA,Delaware,Spearfishing on Scuba,26.0,"No attack, no injury, shark took speared fish & approached diver closely",0.0,17.0,1
1965.0,1.0,USA,Florida,Wading,6.0,Parallel lacerations on right calf. Thought to be a barracuda bite,0.0,14.0,1
1964.0,0.0,AUSTRALIA,Western Australia,"Surfing, but swimming to his board",19.0,Abrasions & 11 teethmarks on right lower leg,0.0,9.0,1
1963.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Splashing in surf,15.0,"FATAL, arm severed, leg bitten",1.0,12.0,1
1963.0,0.0,MAURITIUS,Rodrigues,,24.0,Laceration to right forearm,0.0,14.0,1
1962.0,0.0,ITALY,Tyrrhenian Sea,Spearfishing with Scuba gear,28.0,"FATAL, multiple injuries to both legs",1.0,10.0,1
1962.0,0.0,PAPUA NEW GUINEA,Madang,Swimming,10.0,"FATAL, calf bitten, other leg severed below knee",1.0,15.0,1
1961.0,0.0,MID ATLANTIC OCEAN,165  miles from Bermuda,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea",22.0,Lacerations to right shoulder blade  & back,0.0,6.0,-1
1961.0,0.0,USA,Florida,Standing,25.0,Lacerations to left leg,0.0,15.0,1
1961.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Fishing,44.0,Landed shark in boat bit his left leg  PROVOKED INCIDENT,0.0,14.0,1
1961.0,1.0,AUSTRALIA,New South Wales,Fishing for mackerel,24.0,"No injury to occupant, shark took hooked fish then bit stern of boat",0.0,14.0,1
1960.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Swimming,25.0,"FATAL, legs severed",1.0,16.0,1
1960.0,0.0,AUSTRALIA,Queensland,Swimming,41.0,Right shoulder lacerated,0.0,14.0,1
1959.0,1.0,MALDIVE ISLANDS,400 miles southeast of Sri Lanka,17 Maldivians adrift in open boat for 31 days,3.0,FATAL,1.0,14.0,1
1959.0,1.0,USA,California,Wading,24.0,"No injury, no attack, the 10' shark merely circled him.",0.0,14.0,1
1958.0,0.0,AUSTRALIA,Queensland,Swimming,21.0,FATAL,1.0,15.0,1
1958.0,0.0,SAMOA,South Pacific Ocean,Placed hand in disemboweled shark’s jaws,24.0,Hand lacerated PROVOKED INCIDENT,0.0,14.0,1
1957.0,0.0,SOLOMON ISLANDS,Bougainville (North Solomons),Diving from canoe,15.0,Leg severed,0.0,14.0,1
1957.0,0.0,USA,Florida,Bathing,24.0,Injured by shark,0.0,14.0,1
1956.0,0.0,PAPUA NEW GUINEA,Central Province,"Spearfishing, holding 5' speared fish",24.0,"Left forearm & hand bitten, surgically amputated",0.0,14.0,1
1956.0,0.0,AUSTRALIA,Torres Strait,Diving,24.0,Badly bitten by shark,0.0,14.0,1
1956.0,0.0,AUSTRALIA,Queensland,Diving into water,15.0,"FATAL, large amount of tissue removed from leg, artery severed",1.0,11.0,1
1955.0,1.0,USA,Florida,Fishing for pompano,24.0,"No injury to occupants, shark released from net holed boat",0.0,14.0,1
1955.0,0.0,USA,California,Spearfishing,19.0,"Swimfin & 2 wool socks removed by shark, suit torn",0.0,12.0,1
1954.0,0.0,USA,California,Swimming,35.0,Minor bruises & abrasions on leg,0.0,14.0,1
1954.0,0.0,HONG KONG,,Swimming,20.0,"FATAL, leg severely bitten",1.0,14.0,1
1954.0,0.0,USA,Florida,,24.0,Small wound on upper thigh,0.0,14.0,1
1954.0,1.0,CROATIA,,,24.0,Human remains found in shark,0.0,14.0,1
1954.0,0.0,MARTINIQUE,,,24.0,"Chest bruised, after shark clamped its jaws on his chest",0.0,14.0,1
1950.0,0.0,AUSTRALIA,Western Australia,Spearfishing,24.0,Minor injury to leg,0.0,14.0,1
1950.0,0.0,SINGAPORE,Singapore Harbor,Diving for coins,24.0,FATAL,1.0,14.0,1
1948.0,0.0,BAHAMAS,Bimini Islands,Spearing a shark,41.0,Shark that he speared bit his calf     PROVOKED INCIDENT,0.0,14.0,1
1947.0,0.0,BAHAMAS,New Providence Island,Attempting to ride a shark,24.0,Arm bitten PROVOKED INCIDENT,0.0,14.0,1
1946.0,0.0,TANZANIA,Dar-es-Salaam,Swimming,24.0,Leg bitten,0.0,14.0,1
1945.0,0.0,IRAN,Shatt-al-Arab River,Swimming,13.0,"Right forearm injured, mid-humeral amputation",0.0,14.0,1
1942.0,1.0,SOUTHWEST PACIFIC OCEAN,,Adrift on life raft,24.0,"FATAL, 2 of the 9 airmen killed by sharks",1.0,14.0,1
1942.0,1.0,ATLANTIC OCEAN,,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942.,32.0,FATAL Arm bitten,1.0,14.0,1
1942.0,0.0,,300 miles east of St. Thomas (Virgin Islands),On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,24.0,Forearm lacerated,0.0,14.0,1
1941.0,1.0,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",British cruiser Dunedin torpedoed & sunk by the U-124,24.0,"418 perished, only 67 survived, some of the men were taken by sharks",1.0,14.0,1
1941.0,0.0,USA,New York,Fishing,24.0,Laceration to left forearm from hooked shark PROVOKED INCIDENT,0.0,14.0,1
1940.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Swimming,17.0,"FATAL, multiple injuries to legs & buttocks",1.0,10.0,1
1939.0,1.0,BAHAMAS,Andros Islands,Fishing,24.0,"No injury to occupant, shark rammed bow of boat",0.0,14.0,1
1937.0,0.0,AUSTRALIA,New South Wales,Swimming ashore after launch capsized,24.0,Foot bitten,0.0,14.0,1
1936.0,0.0,CANADA,Newfoundland,Fishing for cod,24.0,"No injury to occupants, hooked shark leapt onboard boat PROVOKED INCIDENT",0.0,14.0,1
1936.0,0.0,USA,Florida,Swimming,24.0,FATAL,1.0,14.0,1
1935.0,0.0,PANAMA,,"Fishing with dynamite, afterwards in water retrieving catch",14.0,"FATAL, leg severed",1.0,14.0,1
1934.0,0.0,BERMUDA,Hamilton,Fishing,24.0,Arm bitten by hooked shark PROVOKED INCIDENT,0.0,22.0,1
1934.0,0.0,AUSTRALIA,Queensland,Body surfing,34.0,Leg lacerated & punctured,0.0,9.0,1
1932.0,0.0,SOUTH AFRICA,Eastern Cape Province,Collecting fish by lamplight in gully,23.0,"Right shin, calf and sole of foot lacerated",0.0,14.0,1
1931.0,1.0,USA,Hawaii,,24.0,"Mysteriously disappeared His body was found in an 18', 750-lb shark caught at Barber's Point on 01-Sep-1931",0.0,14.0,1
1931.0,0.0,USA,Florida,Crabbing,24.0,Lacerations to fingers,0.0,14.0,1
1929.0,1.0,TURKEY,,Fishing boat,24.0,FATAL,1.0,14.0,1
1927.0,1.0,PHILIPPINES,Luzon Island,Sea disaster,24.0,"55  perished, some were  taken by sharks",1.0,14.0,1
1927.0,0.0,AUSTRALIA,Queensland,Pearl diving,24.0,Leg injured,0.0,14.0,1
1926.0,0.0,PAPUA NEW GUINEA,Central Province,Jumped into the water,24.0,"FATAL, abdomen bitten",1.0,14.0,1
1925.0,0.0,USA,Puerto Rico,,24.0,Laceration across abdomen,0.0,14.0,1
1917.0,0.0,KUWAIT,,Diving for pearls,24.0,Torso bitten,0.0,14.0,1
1916.0,0.0,USA,North Carolina,Fishing,24.0,Arm severely lacerated,0.0,14.0,1
1916.0,1.0,BAHAMAS,,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats.,24.0,FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. Sharks were so thick that it was difficult to row,1.0,14.0,1
1916.0,0.0,USA,New Jersey,Swimming,24.0,FATAL,1.0,15.0,1
1913.0,0.0,USA,Florida,Fishing for mackerel,24.0,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,0.0,14.0,1
1913.0,0.0,USA,Florida,,24.0,Major injuries but survived,0.0,14.0,1
1913.0,0.0,REUNION,5aint-Denis,Swimming,24.0,FATAL,1.0,14.0,1
1912.0,0.0,NEW CALEDONIA,South Province,Swimming,24.0,Left shoulder & both legs bitten,0.0,14.0,1
1910.0,1.0,USA,Hawaii,"Hard hat diving, laying some charge of powder",24.0,No injury,0.0,14.0,1
1910.0,0.0,AUSTRALIA,Western Australia,Surf bathing,24.0,"Shoulder, back & leg bitten",0.0,22.0,1
1910.0,1.0,USA,Hawaii,"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",24.0,"Body bitten by shark/s, but death may have been due to drowning",0.0,14.0,1
1910.0,0.0,PHILIPPINES,Luzon Island,Swimming,24.0,"Calf removed, not known if he survived",0.0,14.0,1
1907.0,0.0,USA,New Jersey,Wading,24.0,Abrasion to chest,0.0,14.0,1
1907.0,1.0,AUSTRALIA,Queensland,.,24.0,"Disappeared, but shark involvement unconfirmed",0.0,14.0,1
1905.0,1.0,AUSTRALIA,Western Australia,Bathing,24.0,Bad wound in the leg - 7-ft shark caught in the bath same day,0.0,14.0,1
1905.0,1.0,USA,North Carolina,Harpooning turtles,24.0,"No injury, shark bumped skiff",0.0,14.0,1
1904.0,0.0,NEW ZEALAND,North Island,Swimming,30.0,FATAL,1.0,14.0,1
1903.0,0.0,AUSTRALIA,New South Wales,Suicide,24.0,Jumped off cliff,1.0,14.0,1
1903.0,0.0,AUSTRALIA,New South Wales,,24.0,FATAL,1.0,14.0,1
1902.0,0.0,ITALY,Liguria,Fishing,24.0,Face & arms injured by hooked shark PROVOKED INCIDENT,0.0,14.0,1
1901.0,0.0,AUSTRALIA,Queensland,Bathing,10.0,Lacerations to torso & thigh,0.0,14.0,1
1900.0,0.0,CROATIA,Primorje-Gorski Kotar County,Swimming,24.0,FATAL,1.0,14.0,1
1899.0,0.0,AUSTRALIA,Queensland,Fell into the water,24.0,bite to lower leg,0.0,15.0,1
1898.0,0.0,USA,South Carolina,Fishing (Seining),15.0,Lacerations to left hand,0.0,14.0,1
1896.0,0.0,USA,Florida,Swimming ashore from a filibuster,24.0,FATAL,1.0,14.0,1
1895.0,0.0,YEMEN,Aden,Diving for coins,24.0,FATAL,1.0,14.0,1
1893.0,0.0,CUBA,Havana Province,His balloon crashed in the harbor,24.0,FATAL,1.0,16.0,1
1893.0,0.0,NEW ZEALAND,South Island?,Bathing,24.0,FATAL,1.0,14.0,1
1892.0,0.0,PACIFIC OCEAN,,a canoe was pursuing a schooner that had forcibily abducted 5 young girls,24.0,6 or 8 of the would-be rescuers were shot & the rest were killed by sharks,1.0,14.0,1
1888.0,0.0,SOUTH AFRICA,Eastern Cape Province,Crossing the river mouth,24.0,FATAL,1.0,14.0,1
1887.0,0.0,AUSTRALIA,New South Wales,,24.0,FATAL,1.0,11.0,-1
1886.0,1.0,NEW ZEALAND,South Island,Sea disaster : Wreck of the Taiaroa,24.0,Probable drowning & scavenging,0.0,14.0,1
1883.0,0.0,USA,Texas,Knocked overboard,24.0,FATAL,1.0,14.0,1
1882.0,0.0,NEW ZEALAND,North Island,Bathing,24.0,Sole of foot bitten,0.0,9.0,-1
1880.0,1.0,SYRIA,,Diving for sponges,24.0,FATAL,0.0,14.0,1
1878.0,0.0,AUSTRALIA,New South Wales,Bathing,24.0,Laceration to leg,0.0,14.0,1
1878.0,0.0,,,Jumped overboard after murdering 2 shipmates,24.0,FATAL,1.0,14.0,1
1878.0,1.0,SOUTH AFRICA,Western Cape Province,Wreck of the Union Steamship Company 982-ton iron steamer Kafir,24.0,"FATAL, shark removed large part of his hip",1.0,14.0,1
1876.0,0.0,AUSTRALIA,Victoria,Bathing,24.0,"FATAL, rescued by man on horseback, but died on the beach",1.0,14.0,1
1876.0,0.0,AUSTRALIA,Western Australia,Pearl diving,24.0,Severely bitten but survived,0.0,14.0,1
1874.0,0.0,,,Salvaging a shipwreck,24.0,Heel bitten,0.0,14.0,1
1874.0,1.0,CANADA,Newfoundland,Fishing,24.0,Shark bit & tipped the dory,0.0,14.0,1
1870.0,0.0,INDIA,"22ºN, 88ºE",Bathing,39.0,4 irregular lacerated wounds on right arm,0.0,14.0,-1
1865.0,0.0,USA,New York,Swimming alongside the schooner Catherine Wilcox,17.0,Multiple lacerations,0.0,9.0,-1
1856.0,0.0,,,Swimming,22.0,FATAL,1.0,14.0,-1
1856.0,0.0,ENGLAND,Isle of Wight,Swimming,24.0,Survived,1.0,14.0,-1
1852.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Swimming from capsized boat,24.0,FATAL,1.0,14.0,-1
1849.0,0.0,USA,Florida,Bathing,24.0,FATAL,1.0,14.0,-1
1846.0,1.0,MEXICO,Veracruz,Wreck of the USS Somers,24.0,"FATAL, some were taken by sharks",1.0,14.0,-1
1839.0,0.0,FIJI,Viti Levu Island,,29.0,Survived,0.0,14.0,-1
1830.0,0.0,USA,Massachusetts,"Fishing from dory, shark upset boat & he fell into the water",52.0,FATAL,1.0,14.0,-1
2023.0,0.0,BAHAMAS,Freeport,Scuba diving,73.0,Calf severely bitten,0.0,13.0,1
2023.0,0.0,AUSTRALIA,Western Australia,Snorkeling,11.0,Cuts to leg,0.0,15.0,1
2023.0,0.0,USA,Florida,Spearfishing,24.0,Minor injury to lower right leg,0.0,14.0,1
2023.0,0.0,USA,Hawaii,Swimming,60.0,Left hand and  left leg.,0.0,12.0,1
2022.0,0.0,AUSTRALIA,New South ales,Swimming,15.0,Lower leg.h bitten,0.0,14.0,1
2022.0,0.0,USA,Florida,Jumped into water,24.0,Laceration to leg,0.0,15.0,1
2022.0,0.0,AUSTRALIA,Western Australia,Swimming,24.0,Minor injury,0.0,12.0,1
2022.0,0.0,USA,Florida,Standing,24.0,Bite near big toe,0.0,16.0,1
2022.0,0.0,AUSTRALIA,Queensland,Fihing,24.0,Lacerations to left thigh,0.0,14.0,1
2021.0,0.0,USA,Florida,Surfing,41.0,Left ankle and foot bitten,0.0,6.0,-1
2021.0,0.0,USA,Florida,Boggie boarding,54.0,Right leg bitten,0.0,14.0,1
2021.0,0.0,AUSTRALIA,Queensland,Fishing,24.0,Superficial wound       PROVOKED INCIDENT,0.0,17.0,1
2019.0,2.0,USA,Florida,Boogie boarding,10.0,"Minor lacerations to left knee, left hand and right thigh",0.0,17.0,1
2018.0,0.0,BAHAMAS,Exumas,Swimming,8.0,Arc of shallow lacerations to back,0.0,13.0,1
2018.0,0.0,USA,Massachusetts,Boogie boarding,26.0,FATAL,1.0,12.0,1
2018.0,0.0,BAHAMAS,,Swimming,12.0,"2 puncture wounds to left foot, abrasion to right foot",0.0,18.0,1
